type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,street_name,latitude,longitude,dist_to_center_km,geo_cluster,density_listings_per_km2
House for sale,599000,3,2.0,1120.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.5863749,-74.1470603,18.41859448824218,17,3.1948850259474737
Multi-family home for sale,669000,5,2.0,1893.0,"Far Rockaway, NY 11691",United States,New York,Queens County,Queens,40.5967151,-73.7696424,23.752218617808946,16,3.1953628241957315
House for sale,929888,3,2.0,1070.0,"Floral Park, NY 11001",United States,New York,Queens County,Queens,40.732592,-73.7077664,25.22892539557828,4,3.2020772934193698
Condo for sale,450888,1,1.0,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,Flushing,40.7319691,-73.8541569,12.972503926557595,6,26.68397744512747
Condo for sale,1525000,2,2.0,1329.0,"Queens, NY 11101",New York,Queens County,Queens,Long Island City,40.745483,-73.954465,5.662595554764917,0,5.337597850935143
Multi-family home for sale,879000,4,2.0,1824.0,"Staten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5452993,-74.1492507,22.204587543612256,17,5.3216270552892375
Multi-family home for sale,1049000,6,2.0,2184.207862,"Middle Village, NY 11379",United States,New York,Queens County,Queens,40.7124648,-73.8767192,10.896471654142676,6,5.335191976109623
House for sale,1725000,3,2.0,1508.0,"Brooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6208655,-74.036863,10.54887835714808,19,10.655992204278485
Multi-family home for sale,1069000,6,5.0,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,Queens,40.6755971,-73.7952881,18.240022071276893,10,5.331989787398161
Condo for sale,1150000,2,2.0,2184.207862,"New York, NY 10038",New York,New York County,New York,Manhattan,40.7081041,-74.0074731,0.5367204051595886,12,13.86941614403381
Co-op for sale,199000,1,1.0,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7282899,-73.8472,13.49321983664612,6,32.01596118501108
Co-op for sale,799000,2,2.0,1549.0,"Floral Park, NY 11005",New York,Queens County,Queens,Little Neck,40.7568337,-73.715194,24.98678039599246,4,12.812161480283883
House for sale,1980000,5,2.0,2652.0,"Brooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6253464,-74.036404,10.05682031123608,19,10.655992204278485
Condo for sale,2265000,2,2.0,1123.0,"New York, NY 10002",New York,New York County,New York,Manhattan,40.710456,-73.991235,1.271485202981132,12,5.335191976109623
Co-op for sale,259000,2,1.0,2184.207862,"Kew Gardens, NY 11418",New York,Queens County,Queens,Kew Gardens,40.7041499,-73.83371,14.554153754219138,10,11.735659814182455
Co-op for sale,99000,1,1.0,859.0,"Bronx, NY 10452",New York,Bronx County,The Bronx,Highbridge,40.8366623,-73.9239586,15.408373917521827,14,3.206902387934512
Townhouse for sale,1300000,3,2.3738608579684373,2184.207862,"Manhattan, NY 10031",United States,New York,New York County,New York,40.8274367,-73.9438954,13.778219476026914,14,5.344031307510183
Multi-family home for sale,675000,3,2.0,1750.0,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8266591,-73.824848,19.824550241643344,3,2.1376125230040732
Multi-family home for sale,1100000,6,3.0,2184.207862,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6800424,-73.8830327,10.988093488484662,1,2.1331158922004416
Co-op for sale,2175000,4,4.0,2184.207862,"New York, NY 10016",New York,New York County,New York,Manhattan,40.7468058,-73.9797483,4.3807786368425825,12,34.16062624602838
Co-op for sale,335000,3,2.0,2184.207862,"Bayside, NY 11360",New York,Queens County,Queens,Bayside,40.7805732,-73.7825806,20.27388328641784,7,14.954271752816796
Multi-family home for sale,1075000,7,3.0,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6888948,-73.9059091,8.846434832354882,8,2.1331158922004416
Multi-family home for sale,769000,7,2.0,2100.0,"Staten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.6219621,-74.0832854,12.021412087083391,2,3.1967976612835454
Condo for sale,550000,1,1.0,712.0,"Woodside, NY 11377",New York,Queens County,Queens,Flushing,40.7472923,-73.902194,9.550903629604106,18,5.337597850935143
Condo for sale,630000,2,2.0,2184.207862,"College Point, NY 11356",United States,New York,Queens County,Queens,40.7903558,-73.8528872,15.51504338685158,7,1.068323144842542
House for sale,2400000,4,4.0,3424.0,"Brooklyn, NY 11216",United States,New York,Kings County,Brooklyn,40.6727282,-73.9497962,6.504444591518509,8,7.464785702357426
Pending,1098000,4,4.0,2184.207862,"Bayside, NY 11360",United States,New York,Queens County,Queens,40.7770737,-73.7760771,20.646057798860756,7,4.272005888989471
Multi-family home for sale,1348000,6,3.0,2184.207862,"Corona, NY 11368",United States,New York,Queens County,Queens,40.7535493,-73.8547131,13.528617499305893,6,9.609121110212913
Co-op for sale,305000,1,1.0,750.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6347271,-74.036817,9.061994537960308,19,18.117899722098507
House for sale,749999,4,2.3738608579684373,1063.0,"Staten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5355078,-74.1566675,23.459215853764785,17,2.1283330895679073
Condo for sale,1499999,2,2.0,901.0,"New York, NY 10023",New York,New York County,New York,Manhattan,40.7718553,-73.9799842,6.922774963503711,0,9.612013250226312
Multi-family home for sale,989000,4,4.0,2184.207862,"Jamaica, NY 11420",United States,New York,Queens County,Queens,40.6751744,-73.8037556,17.556686399416552,10,7.464785702357426
Multi-family home for sale,675999,3,2.0,2070.0,"Bronx, NY 10466",United States,New York,Bronx County,The Bronx,40.8974036,-73.8427908,24.69941393489232,3,5.349681882231403
House for sale,2300000,3,2.0,2800.0,"College Point, NY 11356",United States,New York,Queens County,Queens,40.7903373,-73.8420291,16.282224037747028,7,8.546585158751208
Pending,669000,3,1.0,1080.0,"Little Neck, NY 11363",United States,New York,Queens County,Queens,40.7696159,-73.7403605,23.25437758821482,4,5.339203786812912
Condo for sale,474900,2,2.0,1054.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,40.8847442,-73.9132482,20.652011325241,9,25.67459249692015
Co-op for sale,478000,1,1.0,750.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6347771,-74.0316533,8.941439905549485,19,18.117899722098507
House for sale,399999,2,1.0,2184.207862,"Rockaway Park, NY 11694",United States,New York,Queens County,Queens,40.5853532,-73.8227113,20.97474886036571,16,3.1948850259474737
Condo for sale,370000,3,1.0,462.0,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,40.6096365,-73.9544149,12.268782038254365,15,5.326401437908634
Co-op for sale,629000,2,2.0,1600.0,"Floral Park, NY 11005",New York,Queens County,Queens,Queens Village,40.7564761,-73.7212008,24.48282534234106,4,10.676801233583486
Townhouse for sale,2500000,3,4.0,2201.0,"New York, NY 10016",United States,New York,New York County,New York,40.741725,-73.9786641,3.9561077643120464,12,34.16062624602838
Co-op for sale,425000,3,1.0,2184.207862,"Manhattan, NY 10011",New York,New York County,New York,Manhattan,40.7330596,-73.9959886,2.405567793513233,12,18.145104662709763
Co-op for sale,235000,3,1.0,2184.207862,"Queens, NY 11694",New York,Queens County,Queens,Rockaway Park,40.576751,-73.8398387,20.625024710340863,16,2.1296049785675546
Multi-family home for sale,1050000,6,4.0,2134.0,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6231593,-73.9073789,12.982274409750733,11,7.459194542994939
House for sale,1150000,3,2.0,1700.0,"Brooklyn, NY 11214",United States,New York,Kings County,Brooklyn,40.6092336,-73.9930917,11.567432073288638,19,4.261121150332328
Pending,875000,6,2.0,2340.0,"Bronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8661368,-73.8400914,22.04089911500063,3,6.416709320942748
Co-op for sale,599000,1,1.0,800.0,"Manhattan, NY 10002",New York,New York County,New York,Manhattan,40.7142822,-73.9792183,2.2632688413990985,12,1.0670383952219247
Multi-family home for sale,425000,3,2.0,1700.0,"Bronx, NY 10467",United States,New York,Bronx County,The Bronx,40.8817944,-73.8617772,22.37189597269922,3,2.139549374743346
Condo for sale,1395000,1,2.0,1220.0,"New York, NY 10005",New York,New York County,New York,Manhattan,40.707729,-74.0097327,0.645705907236059,12,13.86941614403381
Pending,695000,2,2.0,1200.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6249201,-74.0404698,10.195100212971134,19,4.262396881716817
House for sale,589000,3,2.0,1120.0,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6697595,-73.8692311,12.484957542144302,1,6.397428295934623
Co-op for sale,950000,2,1.0,1000.0,"New York, NY 10023",New York,New York County,New York,Manhattan,40.7759205,-73.9861034,7.2160641086571635,0,25.632035333904224
Co-op for sale,1295000,4,2.0,1995.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8809873,-73.9224337,19.980821169375556,9,4.279098749486692
Co-op for sale,2695000,3,3.0,2184.207862,"Manhattan, NY 10024",New York,New York County,New York,Manhattan,40.7843128,-73.9814804,8.21575375394734,0,10.681622680583425
Co-op for sale,625000,2,1.0,2184.207862,"New York, NY 10025",New York,New York County,New York,Manhattan,40.8025988,-73.9673459,10.50256162052265,0,10.684841026484005
Condo for sale,575000,2,2.0,1253.0,"Rockaway Park, NY 11694",New York,Queens County,Queens,Far Rockaway,40.5824866,-73.8213437,21.275995478389575,16,3.1948850259474737
House for sale,395000,2,2.0,1089.0,"Bronx, NY 10473",United States,New York,Bronx County,The Bronx,40.807051,-73.853819,16.556630701330306,3,7.47938871852929
Multi-family home for sale,999000,6,2.0,3144.0,"Bronx, NY 10462",United States,New York,Bronx County,The Bronx,40.8451067,-73.8601577,19.16344897207333,3,5.345643724959343
Townhouse for sale,999000,4,2.0,2184.207862,"Brooklyn, NY 11221",United States,New York,Kings County,Brooklyn,40.6964448,-73.9283241,6.795555062797434,8,3.2001540457068054
Townhouse for sale,869000,3,2.0,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6191897,-73.939392,11.828312896782997,11,3.1963191417307812
Co-op for sale,167999,1,1.0,2184.207862,"Bronx, NY 10461",New York,Bronx County,The Bronx,Pelham Bay,40.8455961,-73.8264218,21.13466748658263,3,6.414772469951211
Co-op for sale,165000,1,1.0,2184.207862,"Far Rockaway, NY 11691",New York,Queens County,Queens,Far Rockaway,40.6053247,-73.7581283,24.082972310544463,16,2.130560575166164
House for sale,899000,5,2.0,2184.0,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.565557,-74.1329192,19.564022544779004,17,1.064643383262943
House for sale,1250000,3,2.0,2072.0,"Staten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.6321382,-74.0806123,10.956354162368479,2,5.328794035911326
Co-op for sale,679000,1,1.0,2184.207862,"New York, NY 10022",New York,New York County,New York,Manhattan,40.7546656,-73.9675207,5.673019802865171,0,30.96272357739211
Co-op for sale,2250000,2,2.0,2184.207862,"New York, NY 10014",New York,New York County,New York,Manhattan,40.7373809,-74.0040989,2.7379660912526433,12,23.481900151712175
Condo for sale,995000,1,1.0,2184.207862,"Manhattan, NY 10003",United States,New York,New York County,New York,40.7344156,-73.9836325,3.0545057520070666,12,23.481900151712175
Co-op for sale,120000,2,1.0,1100.0,"Bronx, NY 10456",New York,Bronx County,The Bronx,Morrisania,40.8310613,-73.8998364,15.901197202868069,14,2.1379349252896747
House for sale,515000,3,1.0,882.0,"Cambria Heights, NY 11411",United States,New York,Queens County,Queens,40.6842823,-73.7278575,23.661587271205878,4,2.133115892203155
Pending,349750,1,1.0,2184.207862,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,40.6585622,-73.9825211,6.347594104407375,5,1.0660782215827058
Co-op for sale,229000,3,1.0,500.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,40.5822648,-73.9666622,14.889461177271462,15,9.584655077842422
Co-op for sale,565000,4,1.0,1024.0,"Manhattan, NY 10035",New York,New York County,New York,Manhattan,40.807789,-73.938228,12.006011128650645,14,4.273936410588166
Condo for sale,1375000,1,2.0,920.0,"Manhattan, NY 10065",New York,New York County,New York,Manhattan,40.7645034,-73.9648503,6.713609228667875,0,32.03522272087748
Condo for sale,499000,3,2.0,1156.0,"Ozone Park, NY 11417",New York,Queens County,Queens,Ozone Park,40.6726721,-73.8496745,13.914625600392718,1,4.265591829918529
Multi-family home for sale,689000,6,3.0,2184.207862,"Bronx, NY 10458",United States,New York,Bronx County,The Bronx,40.8681745,-73.8897652,19.85557204620103,9,5.347257767445488
Co-op for sale,499000,2,1.0,2184.207862,"Forest Hills, NY 11375",United States,New York,Queens County,Queens,40.7272034,-73.8471901,13.4792676045758,6,32.01596118501108
Co-op for sale,229000,1,1.0,650.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6308291,-74.0250165,9.254781877657264,19,7.460311650285346
Condo for sale,200000,2,3.0,1260.0,"Manhattan, NY 10022",United States,New York,New York County,New York,40.7613979,-73.9746128,6.016220064723883,0,21.35681514725165
Multi-family home for sale,849000,6,5.0,2184.207862,"South Ozone Park, NY 11436",United States,New York,Queens County,Queens,40.669692,-73.8003434,17.989654125081994,10,2.1324760986448745
Co-op for sale,250000,1,1.0,750.0,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,Gerritsen Beach,40.5986758,-73.9325474,14.121987615513387,15,10.651209413985772
Co-op for sale,940000,3,2.0,2184.207862,"Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7553599,-73.88722,11.070620549032993,18,30.96272357735272
Pending,205000,1,1.0,660.0,"Corona, NY 11368",New York,Queens County,Queens,Corona,40.7376662,-73.8566546,12.885325658791405,6,26.68397744512747
Pending,299999,2,1.0,650.0,"Brooklyn, NY 11208",New York,Kings County,Brooklyn,East New York,40.657696,-73.8764091,12.527721513075797,1,3.1982346647521855
Co-op for sale,749000,1,1.0,2184.207862,"New York, NY 10128",New York,New York County,New York,Manhattan,40.782693,-73.9517106,9.017528223090203,0,21.36324536116685
Multi-family home for sale,850000,5,2.0,1908.0,"Bronx, NY 10466",United States,New York,Bronx County,The Bronx,40.8979269,-73.8463057,24.58478246265825,3,5.349681882231403
Condo for sale,2250000,3,2.0,2184.207862,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,40.6731905,-73.9835999,4.792199783619406,5,7.464785702347929
Co-op for sale,519000,2,1.0,1100.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Manhattan Beach,40.5813269,-73.9541649,15.259254460829704,15,6.38977005188682
Pending,314000,1,1.0,875.0,"Brooklyn, NY 11204",New York,Kings County,Brooklyn,Gravesend,40.60714,-73.985744,11.872463394162615,15,5.326401437908634
Contingent,499000,3,2.0,1288.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6166867,-74.1576647,16.669124317975097,13,4.261758855641042
Condo for sale,1695000,2,2.0,1035.0,"Brooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,40.7163702,-73.9515728,4.604398109255367,8,3.2011151856617013
Co-op for sale,134500,3,1.0,503.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8789773,-73.916004,19.970798225329627,9,17.113809275754143
Multi-family home for sale,2050000,4,2.0,1760.0,"Brooklyn, NY 11222",United States,New York,Kings County,Brooklyn,40.735132,-73.9536334,5.063647101873361,0,3.2020772934152966
House for sale,1288000,3,2.0,1188.0,"Brooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6229377,-74.0298947,10.19345184380184,19,8.524793763433633
Land for sale,450000,3,2.3738608579684373,2184.207862,"Bronx, NY 10471",United States,New York,Bronx County,The Bronx,40.89582,-73.9110766,21.863056142464085,9,4.279745505785122
Contingent,950000,3,2.0,1364.0,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5781512,-74.1348919,18.50474516178975,17,1.064802489285132
Land for sale,2550000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11235",United States,New York,Kings County,Brooklyn,40.5785288,-73.9655666,15.315059130498248,15,18.101642317847244
House for sale,728900,4,1.0,960.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6163157,-74.1248333,14.682107706637963,13,4.261758855641042
Co-op for sale,368000,2,2.0,2184.207862,"Bayside, NY 11360",New York,Queens County,Queens,Bayside,40.784673,-73.775263,21.01595681970873,7,13.886109484776116
Multi-family home for sale,885000,6,5.0,2680.0,"Bronx, NY 10473",United States,New York,Bronx County,The Bronx,40.8236783,-73.8705222,16.79810915531238,3,7.4816438305142565
Pending,498888,1,1.0,750.0,"Bayside, NY 11360",New York,Queens County,Queens,Bayside,40.788818,-73.7867657,20.310081648385687,7,14.954271752816796
House for sale,1448000,5,4.0,2000.0,"Bellerose, NY 11426",United States,New York,Queens County,Queens,40.735335,-73.7142031,24.717156728108293,4,1.0673590978050989
Pending,748999,3,2.0,1620.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.606691,-74.0724094,13.061056663231742,2,6.391681725498492
House for sale,599000,3,2.0,780.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5880538,-74.0858781,15.421430201891146,2,3.19488502594341
